,City,Cloudness,Humidity,Latitude,Tempature,Wind Speed
0,ushuaia,90.0,80.0,-54.81,33.8,5.82
1,kovdor,44.0,68.0,67.56,50.97,6.58
2,itarema,24.0,88.0,-2.92,75.72,12.28
3,dingle,92.0,100.0,11.0,75.27,10.38
4,seoul,40.0,67.0,37.57,93.27,4.7
5,clifton,0.0,20.0,-27.93,64.4,17.22
6,jamestown,88.0,94.0,-33.21,50.34,14.74
7,victoria,75.0,74.0,5.28,87.84,4.7
8,mondragone,0.0,88.0,41.11,76.03,4.7
9,carnarvon,80.0,94.0,-30.97,34.32,12.62
10,chara,20.0,50.0,39.42,78.8,6.93
11,bambous virieux,40.0,44.0,-20.34,77.0,11.41
12,ponta do sol,92.0,98.0,-20.63,60.6,2.66
13,airai,64.0,40.0,-8.93,83.01,2.33
14,bredasdorp,92.0,87.0,-34.53,46.4,12.75
15,misratah,36.0,89.0,32.38,81.48,11.05
16,puerto ayora,68.0,100.0,-0.74,69.6,12.17
17,punta arenas,90.0,100.0,-53.16,32.0,1.12
18,souillac,0.0,57.0,45.6,75.2,5.82
19,vardo,1.0,100.0,39.62,73.96,1.21
20,bluff,76.0,19.0,-23.58,68.97,8.93
21,el dorado,12.0,83.0,6.71,73.92,2.77
22,akil,8.0,89.0,20.26,76.89,4.23
23,yellowknife,75.0,93.0,62.45,60.8,5.82
24,mungwi,0.0,56.0,-10.17,61.23,5.01
25,coruripe,92.0,95.0,-10.12,76.62,11.39
26,rikitea,36.0,98.0,-23.12,75.36,3.44
27,cap-aux-meules,20.0,91.0,47.38,71.49,18.21
28,kangaatsiaq,92.0,83.0,68.31,46.29,7.92
29,bathsheba,20.0,83.0,13.22,80.6,19.46
30,bundaberg,88.0,97.0,-24.87,66.81,13.29
31,palmer,90.0,93.0,61.6,60.13,4.7
32,aras,0.0,74.0,14.28,66.27,3.67
33,hermanus,88.0,96.0,-34.42,44.67,4.68
34,chuy,0.0,92.0,-33.69,49.26,12.28
35,san cristobal,75.0,87.0,-0.39,51.8,12.75
36,mayo,75.0,93.0,63.59,55.4,3.33
37,iquitos,0.0,94.0,-3.75,75.2,3.36
38,arraial do cabo,92.0,100.0,-22.97,65.91,6.24
39,cape town,40.0,93.0,-33.93,44.6,8.05
40,coihaique,0.0,92.0,-45.58,30.2,2.24
41,ucluelet,0.0,83.0,48.94,61.32,1.43
42,port elizabeth,1.0,94.0,39.31,75.81,3.36
43,rapid valley,1.0,87.0,44.06,54.63,2.89
44,mount gambier,92.0,90.0,-37.83,51.24,8.81
45,darnah,0.0,96.0,32.77,80.67,8.81
46,katiola,92.0,96.0,8.14,71.22,8.37
47,troitskoye,0.0,42.0,52.98,72.48,5.12
48,nikolskoye,75.0,77.0,59.7,62.6,11.18
49,alice springs,0.0,18.0,-23.7,64.4,5.82
50,riyadh,0.0,12.0,24.63,96.8,9.17
51,ozernovskiy,56.0,96.0,51.5,56.64,5.12
52,garbolovo,75.0,77.0,60.34,62.6,15.66
53,albany,20.0,78.0,42.65,71.19,3.36
54,mar del plata,88.0,100.0,-46.43,40.8,5.57
55,saint-philippe,1.0,83.0,45.36,71.51,3.36
56,mahebourg,40.0,44.0,-20.41,77.0,11.41
57,lompoc,1.0,51.0,34.64,64.26,4.7
58,busselton,20.0,95.0,-33.64,62.22,14.29
59,djibo,36.0,95.0,14.1,71.31,6.8
60,soyo,92.0,93.0,-6.13,68.7,3.22
61,mataura,88.0,89.0,-46.19,40.44,2.77
62,avarua,75.0,83.0,-21.21,75.2,4.7
63,lixourion,20.0,74.0,38.2,79.83,2.89
64,tiksi,0.0,71.0,71.64,53.67,13.85
65,barrow,88.0,45.0,-38.31,59.43,18.32
66,chiredzi,0.0,72.0,-21.05,69.6,3.22
67,paragominas,0.0,96.0,-3.0,70.41,3.56
68,port alfred,0.0,92.0,-33.59,56.46,21.12
69,atuona,68.0,99.0,-9.8,79.86,18.77
70,hobart,20.0,43.0,-42.88,55.4,14.99
71,keti bandar,0.0,93.0,24.14,81.84,22.01
72,texiguat,75.0,82.0,13.65,68.0,6.93
73,new norfolk,20.0,81.0,-42.78,53.6,17.22
74,wasilla,90.0,93.0,61.58,60.12,3.36
75,kaitangata,100.0,87.0,-46.28,48.27,8.7
76,butaritari,48.0,100.0,3.07,81.39,3.0
77,vila franca do campo,75.0,68.0,37.72,68.0,5.82
78,ahipara,12.0,96.0,-35.17,53.94,4.34
79,maningrida,12.0,48.0,-12.05,86.61,17.31
80,gijon,40.0,77.0,43.54,66.2,11.41
81,sinegorye,80.0,92.0,62.09,53.22,1.99
82,saint anthony,1.0,62.0,43.97,53.53,3.36
83,hamilton,40.0,78.0,32.3,80.6,4.7
84,requena,0.0,65.0,39.49,77.0,2.24
85,sanchursk,36.0,79.0,56.94,67.71,9.71
86,faanui,24.0,99.0,-16.48,80.31,13.29
87,yerbogachen,76.0,65.0,61.28,60.33,6.58
88,esperance,20.0,88.0,10.24,78.8,5.82
89,aksu,90.0,88.0,52.04,62.6,4.47
90,waddan,76.0,37.0,29.16,85.44,13.85
91,coahuayana,76.0,76.0,18.62,67.26,1.21
92,kisangani,64.0,93.0,0.52,73.29,2.77
93,labuhan,36.0,64.0,-2.54,86.79,3.78
94,chapayevka,20.0,82.0,53.06,64.4,13.42
95,constitucion,76.0,57.0,23.99,66.99,6.13
96,hambantota,56.0,83.0,6.12,84.81,18.99
97,nyurba,12.0,58.0,63.29,71.04,3.67
98,vaini,100.0,99.0,15.34,71.67,10.16
99,los andes,90.0,81.0,-32.83,50.0,9.17
100,lebu,75.0,87.0,8.96,59.0,6.93
101,stephenville crossing,90.0,93.0,48.5,64.4,6.93
102,ust-kan,48.0,43.0,50.93,70.41,2.1
103,pacific grove,1.0,71.0,36.62,60.93,4.7
104,acapulco,75.0,88.0,16.86,78.8,4.7
105,chokurdakh,0.0,83.0,70.62,45.75,9.82
106,pevek,0.0,100.0,69.7,40.26,16.08
107,shetpe,0.0,28.0,44.14,88.95,4.23
108,chazuta,20.0,95.0,-6.57,69.96,1.99
109,syracuse,75.0,100.0,43.05,67.93,4.7
110,saldanha,12.0,81.0,41.42,56.55,5.46
111,anisoc,44.0,99.0,1.87,68.79,2.21
112,arcata,90.0,100.0,40.87,53.6,6.93
113,san patricio,0.0,92.0,-26.98,43.95,3.22
114,kapaa,90.0,78.0,22.08,79.77,16.11
115,lucapa,0.0,76.0,-8.42,60.87,2.66
116,port lincoln,92.0,96.0,-34.72,57.27,31.07
117,venustiano carranza,75.0,82.0,19.42,56.75,6.93
118,cabo rojo,20.0,100.0,18.09,78.51,11.95
